solution,no_swaps,cue_id,img_text,cuepool_name
pks,4,3418,"['swap 3 with 2', 'swap 1 with 2', 'swap 1 with 3', 'swap 2 with 1']",Letter Swap - 4
ksp,4,3422,"['swap 3 with 2', 'swap 1 with 3', 'swap 2 with 1', 'swap 2 with 3']",Letter Swap - 4
kps,4,3423,"['swap 2 with 1', 'swap 3 with 2', 'swap 3 with 1', 'swap 1 with 2']",Letter Swap - 4
skp,4,3424,"['swap 3 with 1', 'swap 2 with 1', 'swap 2 with 3', 'swap 3 with 1']",Letter Swap - 4
ksp,4,3426,"['swap 1 with 3', 'swap 2 with 1', 'swap 3 with 1', 'swap 2 with 3']",Letter Swap - 4
pks,4,3427,"['swap 2 with 3', 'swap 1 with 2', 'swap 3 with 2', 'swap 1 with 3']",Letter Swap - 4
ksp,4,10534,"['swap 3 with 1', 'swap 2 with 1', 'swap 2 with 3', 'swap 3 with 1']",Letter Swap - 4
pks,4,10545,"['swap 1 with 2', 'swap 3 with 1', 'swap 2 with 1', 'swap 3 with 2']",Letter Swap - 4
psk,4,10546,"['swap 2 with 1', 'swap 3 with 2', 'swap 3 with 1', 'swap 2 with 3']",Letter Swap - 4
kps,4,10547,"['swap 1 with 3', 'swap 2 with 3', 'swap 1 with 3', 'swap 2 with 3']",Letter Swap - 4
ksp,6,3429,"['swap 1 with 2', 'swap 3 with 1', 'swap 2 with 3', 'swap 3 with 2', 'swap 3 with 1', 'swap 1 with 2']",Letter Swap - 5
kps,6,3435,"['swap 1 with 3', 'swap 1 with 2', 'swap 3 with 2', 'swap 3 with 1', 'swap 1 with 2', 'swap 2 with 3']",Letter Swap - 5
skp,6,3437,"['swap 1 with 3', 'swap 3 with 2', 'swap 2 with 1', 'swap 3 with 2', 'swap 1 with 3', 'swap 3 with 2']",Letter Swap - 5
ksp,6,3438,"['swap 1 with 2', 'swap 3 with 1', 'swap 2 with 3', 'swap 3 with 2', 'swap 3 with 1', 'swap 1 with 2']",Letter Swap - 5
skp,6,3440,"['swap 1 with 2', 'swap 3 with 1', 'swap 2 with 1', 'swap 1 with 3', 'swap 2 with 3', 'swap 1 with 2']",Letter Swap - 5
skp,5,3441,"['swap 3 with 1', 'swap 1 with 2', 'swap 2 with 3', 'swap 2 with 1', 'swap 3 with 2']",Letter Swap - 5
skp,6,3444,"['swap 1 with 3', 'swap 3 with 2', 'swap 3 with 1', 'swap 1 with 3', 'swap 1 with 2', 'swap 3 with 2']",Letter Swap - 5
spk,5,10535,"['swap 1 with 2', 'swap 2 with 3', 'swap 1 with 3', 'swap 2 with 1', 'swap 3 with 1']",Letter Swap - 5
skp,5,10536,"['swap 2 with 1', 'swap 3 with 2', 'swap 1 with 3', 'swap 1 with 2', 'swap 2 with 3']",Letter Swap - 5
skp,5,10537,"['swap 3 with 2', 'swap 1 with 3', 'swap 1 with 2', 'swap 2 with 3', 'swap 3 with 1']",Letter Swap - 5
skp,5,10538,"['swap 3 with 1', 'swap 1 with 2', 'swap 2 with 3', 'swap 2 with 1', 'swap 3 with 2']",Letter Swap - 5
ksp,5,10539,"['swap 2 with 3', 'swap 3 with 1', 'swap 1 with 2', 'swap 2 with 3', 'swap 2 with 1']",Letter Swap - 5
psk,5,10540,"['swap 1 with 2', 'swap 3 with 1', 'swap 2 with 1', 'swap 2 with 3', 'swap 1 with 3']",Letter Swap - 5
spk,7,10516,"['swap 2 with 3', 'swap 1 with 2', 'swap 3 with 2', 'swap 2 with 3', 'swap 1 with 3', 'swap 3 with 2', 'swap 2 with 1']",Letter Swap - 6
spk,7,10517,"['swap 1 with 3', 'swap 3 with 2', 'swap 3 with 1', 'swap 1 with 2', 'swap 2 with 3', 'swap 1 with 3', 'swap 2 with 3']",Letter Swap - 6
ksp,8,10518,"['swap 2 with 3', 'swap 1 with 3', 'swap 2 with 1', 'swap 2 with 3', 'swap 1 with 3', 'swap 3 with 2', 'swap 3 with 1', 'swap 1 with 3']",Letter Swap - 6
kps,7,10519,"['swap 1 with 3', 'swap 2 with 3', 'swap 3 with 1', 'swap 1 with 2', 'swap 3 with 2', 'swap 2 with 1', 'swap 2 with 3']",Letter Swap - 6
ksp,7,10522,"['swap 3 with 1', 'swap 2 with 1', 'swap 2 with 3', 'swap 1 with 3', 'swap 2 with 1', 'swap 2 with 3', 'swap 2 with 1']",Letter Swap - 6
spk,7,10525,"['swap 1 with 3', 'swap 3 with 2', 'swap 3 with 1', 'swap 1 with 2', 'swap 2 with 3', 'swap 1 with 3', 'swap 2 with 3']",Letter Swap - 6
ksp,8,10528,"['swap 3 with 1', 'swap 1 with 2', 'swap 1 with 3', 'swap 2 with 1', 'swap 1 with 3', 'swap 3 with 2', 'swap 1 with 2', 'swap 3 with 2']",Letter Swap - 6
psk,8,10529,"['swap 3 with 1', 'swap 2 with 3', 'swap 1 with 2', 'swap 3 with 1', 'swap 1 with 2', 'swap 2 with 3', 'swap 1 with 3', 'swap 3 with 2']",Letter Swap - 6
ksp,7,10531,"['swap 3 with 1', 'swap 1 with 2', 'swap 2 with 1', 'swap 2 with 3', 'swap 3 with 1', 'swap 3 with 2', 'swap 1 with 2']",Letter Swap - 6
kps,8,10532,"['swap 2 with 3', 'swap 1 with 2', 'swap 2 with 1', 'swap 1 with 3', 'swap 3 with 2', 'swap 2 with 1', 'swap 1 with 3', 'swap 2 with 3']",Letter Swap - 6
kps,8,10533,"['swap 3 with 2', 'swap 3 with 1', 'swap 2 with 1', 'swap 1 with 3', 'swap 2 with 1', 'swap 3 with 1', 'swap 2 with 3', 'swap 1 with 2']",Letter Swap - 6
